1.4, 1.72
1.4, 1.72
1.72, 2.04
1.72, 2.04
2.04, 2.36
2.04, 2.36
2.36, 2.68
2.36, 2.68
2.68, 3.0
2.68, 3.0
1.4, 1.72
1.4, 1.72
1.72, 2.04
1.72, 2.04
2.04, 2.36
2.04, 2.36
2.36, 2.68
2.36, 2.68
2.68, 3.0
2.68, 3.0
1.4, 1.72
1.4, 1.72
1.72, 2.04
1.72, 2.04
2.04, 2.36
2.04, 2.36
2.36, 2.68
2.36, 2.68
2.68, 3.0
2.68, 3.0
1.4, 1.72
1.4, 1.72
1.72, 2.04
1.72, 2.04
2.04, 2.36
2.04, 2.36
2.36, 2.68
2.36, 2.68
2.68, 3.0
2.68, 3.0
1.4, 1.72
1.4, 1.72
1.72, 2.04
1.72, 2.04
2.04, 2.36
2.04, 2.36
2.36, 2.68
2.36, 2.68
2.68, 3.0
2.68, 3.0
1.4, 1.72
1.4, 1.72
1.72, 2.04
1.72, 2.04
2.04, 2.36
2.04, 2.36
2.36, 2.68
2.36, 2.68
2.68, 3.0
2.68, 3.0
1.4, 1.72
1.4, 1.72
1.72, 2.04
1.72, 2.04
2.04, 2.36
2.04, 2.36
2.36, 2.68
2.36, 2.68
2.68, 3.0
2.68, 3.0
1.4, 1.72
1.4, 1.72
1.72, 2.04
1.72, 2.04
2.04, 2.36
2.04, 2.36
2.36, 2.68
2.36, 2.68
2.68, 3.0
2.68, 3.0
1.4, 1.72
1.4, 1.72
1.72, 2.04
1.72, 2.04
2.04, 2.36
2.04, 2.36
2.36, 2.68
2.36, 2.68
2.68, 3.0
2.68, 3.0
1.4, 1.72
1.4, 1.72
1.72, 2.04
1.72, 2.04
2.04, 2.36
2.04, 2.36
2.36, 2.68
2.36, 2.68
2.68, 3.0
2.68, 3.0
1.4, 1.72
1.4, 1.72
1.72, 2.04
1.72, 2.04
2.04, 2.36
2.04, 2.36
2.36, 2.68
2.36, 2.68
2.68, 3.0
2.68, 3.0
1.4, 1.72
1.4, 1.72
1.72, 2.04
1.72, 2.04
2.04, 2.36
2.04, 2.36
2.36, 2.68
2.36, 2.68
2.68, 3.0
2.68, 3.0
1.4, 1.72
1.4, 1.72
1.72, 2.04
1.72, 2.04
2.04, 2.36
2.04, 2.36
2.36, 2.68
2.36, 2.68
2.68, 3.0
2.68, 3.0
1.4, 1.72
1.4, 1.72
1.72, 2.04
1.72, 2.04
2.04, 2.36
2.04, 2.36
2.36, 2.68
2.36, 2.68
2.68, 3.0
2.68, 3.0
1.4, 1.72
1.4, 1.72
